tweet,label
@aneelfassa beyond meat burgers are diff,0
"dennys plant based burgers a close second to beyond burgers imo, fair play dennys",0
"Who ever said Beyond Meat tastes like meat FUCKING LIED. I can taste every root, grain, and bean even after I season it like an actual burger. I've never seen something soak up oil and still be dry as fuck. Beyond Meat is a scam",1
@feebee79 I’ve just had a beyond burger with french fries and mozzarella melts. Healthy Saturday!! 🐷,0
@themetdtd Yeah it’s great that all I have to enrich my life is weed and beyond burgers,0
@BeatrizEspiga As pessoas pensam que ser veggie/vegan é comer salsichas de soja e beyondburger kkkk,1
"Beyond Meat - San José, San José Province - I had 2 beyond meat burgers .. 1 at night and the next the following night.. I woke up with dishreaa, an uneasy feeling in my stomach... Food Poisoning https://t.co/z5pfRar1bv",1
Black BEYOND MEAT BURGER AKA BBMB https://t.co/ooSmb92PpM,0
Beyond Meat says it 'co-created' a plant-based burger that will be part of McDonald's McPlant lineup https://t.co/96pzs8u2Xh,0
@_ColinFay Beyond burgers are incredible. No need to eat a beef burger again after trying those!,0
Just tried Denny’s Beyond burger and happy to announce that is tastes like absolute ass and they don’t know how to cook it. So it fits right in. Well done Denny.,0
"@CarlsJr how are you still in business?  it's been a while but decide to try again...so stupid.  most overpriced, worst food ever.  barely to temperature @BeyondMeat #beyondburger and the prices were tasteless.  good luck in the post covid world.",1
"@SuzeQKnits That sounds yummy! I tried the beyond beef a while ago in burgers (we’re omnivores, but I’m trying to get the family to eat less meat). They were good, but had a sort of “cereal-ey“ flavor. Not bad, just not convincing as meat. I’m thinking of trying it again but in a tamale pie?",0
"@ThisIsTommyP I know I know 😌
Whenever I eat a Beyond Burger I’m like 👀 but I remind myself it’s plant based and take another bite 😋😋",0
@NapoleonVII @LouGarza86 Beyond burgers are disgusting.  I’ll stick with fish.,1
"@_ColinFay I just had a burger for lunch and I absolutely would’ve enjoyed (and have before) a beyond/impossible substitute. I know I should cut back more for environmental and health reasons, but every time I try I’m unsuccessful.",1
"@mollycoddle1 @ThePlumLineGS Every Republican ad in Ohio said the same, vague, nothing burger and everyone one of them was re-elected. It’s beyond apathy here.",1
"Our LH #Vegan Burger is a treat for the taste buds. Beyond Meat burger, veganaise special sauce, vegan American cheese, pickles, caramelized onions, on a vegan brioche bun. https://t.co/tecH1QZp0N #Brunch https://t.co/KqfoTOAvrf",0
@JosiahParry @_ColinFay I've tried beyond sausage and impossible burger (both at restaurants) and the impossible burger was a completely different level in terms of similarity to meat for me :) hope it'll be the same for you! :),0
@DeputyPeake @Nazmameah1 Try Beyond Burgers Emily ❤️,0
"We have something for everyone... Check out our vegan/vegetarian options!  #midtownatl

#mattchews #veganfriedrice #vegan #plantbased #beyondburger #eggbanhmi #portobellomushrooms #gogreen #vegetarian #asianfusion #chef #asianfood #vietnamesefood #tasty #sandwich #love #explore https://t.co/S4j0wNjoBZ",0
"I cannot believe Morning Star is hopping on the Impossible/Beyond imitation burger train with something called ""Incogmeato""

INCOG MEAT O",0
"@_ColinFay @kierisi We've got beyond meat burger patties in NL - prefer it to real meat patties, way more flavour!",0
@suffolkbiker31 @moss_beast @12rulesforwhat 2 lines a 4-pack of Stella vs. a Beyond Meat burger haha. Easy choice.,0
@324_B21 I didn’t even notice the first one said meat 😒 it was in the same section as the other meatless burgers. I’ll try the third one next after I see how I like the beyond burger. My favorite brand is morning star but I’m open to trying other brands.,0
@_ColinFay Went vegetarian last year and had my first beyond meat burger a few months ago. It freaked me out! It was just like the real thing!,1
"@cannabananaRN @laxref12 I'm not fussy about the beyond meat myself...Id rather just eat veggies lol I wish I could find a really good ground beef substitute...Theres another one, impossible burger or something? Have you tried that? I'd really like to try that one but haven't seen it anywhere yet...",0
"@Walboro @pizzahutdeliver That was because McDonalds didn't namecheck @BeyondMeat in their press release. Once it was clarified that their new burgers were beyond meat, the stock price shot up.

Ratner moment...",1
"@324_B21 &amp; any of my followers who don’t eat meat, have you tried any of these brands? Are they good? Getting beyond burger to try at home. https://t.co/MtlP9hUFYV",0
"ستشاهدون غدا 😍😍♥️
TheCrown
The Good Lord Bird
His Dark Materials
Moonbase 8
The Spanish Princess
The Undoing
The Walking Dead: World Beyond
NCIS: New Orleans
NCIS: Los Angeles
The Simpsons
Family Guy
Fargo
Fear The Walking Dead
Bob's Burgers
One Piece
أن شاء الله ما نسيت شي",1
@geezytron3000 I guess there's a reason only 36 morons follow you.  You obviously lack an education beyond perhaps your GED.  How's your job at Burger King going?  You still trying to up sell fries?,1
Yes I eat my beyond meat burger while throwing straws in the Band hurt my feelings.,1
"Why is ordering food so hard? Panera literally has no soup options, Burger King on one app still hasn’t added the beyond breakfast sausage sandwich and Burger King on grub hub says they’ll deliver in 30 minutes but doesn’t have a single food item listed to purchase.",1
"@sheetz - have you discontinued the beyond burger company-wide or just at the one I visited today? Regardless, it was a wildly disappointing turn of events...",1
@PeyMo Carl’s Jr. Beyond burger lives in my head rent free 😅.,0
@icew0man beyond meat or coop incredible burgers !,0
"McDonald's Announces New Plant-Based Burger

The long-awaited 'McPlant' was formulated with help from Beyond Meat

https://t.co/YmgaKgRMhV @Treehugger @McDonalds #sustainable #meat #McPlant #ethoslifestyle",0
"My husband is very fond of meat and gets bored with lentils and pulses that I find delicious. Most meat substitutes are over salted and he won't eat them. Thank goodness for Beyond Burgers and sausages, he prefers them to animal flesh. https://t.co/xf0ZawhIKl",0
I just want a beyond burger 😔,0
@beemdvp Of course i am only talking about one burger: the 'Beyond burger' as sold by the Albertheijn in the netherlands. But it makes me hopeful.,0
I just tried the new 'beyond burger' and i think it's safe to call it. Vegan hamburgers have equalled meat based ones. I couldn't tell the difference with a good beef one if i tried. Absolutely excellent.,0
