tweet,label
@Stardogkilledme Thoughts on the impossible burger ?,0
"@jasminelydia17 the thing is one place can have a black bean burger that’s super good, but the next place may not bc they all taste so different (even with using the same ingredients sometimes) so it depends !!! i do prefer “veggie” burgers over the beyond or impossible burgers tho !!!",0
@syluwuv RIP WENDYS .. order an impossible burger from burger king i like them,0
"@nymillenials What the hell? I ordered an impossible burger, a beer, and some fries.
I got a burger that's inside out, a beer in an undrinkable Klein Bottle, and kale chips.",1
the lady at burger king just asked me if i wanted bacon on my impossible whopper,0
@_Griot_ Literally 1 and I just had an impossible burger last week lol,1
"@schramcattleco Nope. Our soy comes from the US soy belt (Minnesota, Illinois and Iowa), not the Amazon. About 80% less herbicide is required to produce the Impossible Burger than an average American cow-derived burger. Facts: https://t.co/pbPx4JSZH3",0
tried an impossible burger today and i gagged audibly 🤢,0
Shaun king is the impossible burger of black people,1
@chrimpsy @cybergibbons Where's the beyond meat and the impossible burgers?,0
FDA Deems Impossible #burger Safe for Consumption. #cooking https://t.co/r2TakubxDO https://t.co/xTXNwoJwjh,0
@McDonalds Impossible burger.  What deal is that.👤,0
"@NorthernOvation Make sure your cake is carrot cake, your pie is a fruit pie, your French fries are sweet potato, and your burger is Beyond Meat or Impossible.",0
"Can @Whataburger just get on the impossible meat train, I can’t handle these Burger King fries any more.",0
“Impossible” plant based meat tried to trick me but nah. I’m an Apex predator. I do not play myself. This ain’t no Topnotch King Burger w/mozzarella cheese 🤗,0
And to those who don’t know- I am a very vegan vegan. I have cravings for meat occasionally that can be taken care of with an impossible burger but NEVER this specific ???,0
"Me: wtf why is the impossible burger $20 everywhere except for burger king?

Also me: *spends $20 at burger king*",0
@TeeMackBaaaybie Lol better impossible/beyond burger that craving down,0
It’s ungodly how much an impossible burger tastes like meat,0
I'm actually a millennial but I only scored 6 🤷🏻‍♀️ (7 if you replace Impossible Burger with Beyond Burger). https://t.co/i3BULKX7HU,0
"Second impossible slider burger free at White Castle restaurants, also 20% off for educational staff #whitecastle https://t.co/RE4jw8uPfR",0
@Justlove3332 I scored six and I'll never eat another impossible burger. I couldn't be around people for hours.🤢⛽,1
"Has anyone ever made a lettuce bread hamburger bun? I've been wondering what an Impossible burger with lettuce bread, green banana peppers, and green ketchup would taste like.

https://t.co/PRfnfzrv5R
https://t.co/kdYpPSkJxV",0
"Why did I just get a specific craving for:
Cheese fries &amp; ranch dip from Johnny Rockets
&amp; the impossible burger from the Hard Rock Cafe with their specially sauce
•
my memory threw it at me &amp; now I want it...but I'm also not at all hungry &amp; know I won't have those any time soon https://t.co/suUaFsNrFK",0
Now who the hell told me that the impossible burger was good? https://t.co/iYZA5qG2QV,1
@NguyetV @dallendoug Those buns sound amazing.  Ok ok we’ll make impossible burgers this weekend!,0
Can @BurgerKing sponsor me because the impossible burger is literally LIFE! 💯💕 Go try one - it will change your life! 🙌🏼,1
I put a couple impossible burgers on the Ninja grill and magic was made https://t.co/JVW7RFJeES,0
How Impossible Foods Turned A Plant-Based Burger Into A $4 Billion Brand https://t.co/8sEzflyCKw via @YouTube,0
The IMPOSSIBLE BURGER Goes GLOBAL https://t.co/INPzA01yDK,0
@Rob_More Mendocino farms got the “impossible burger queen” and that joint SMACKS👌🏼👌🏼highly recommend,0
so my job has a dinning room with fresh food and they FINALLY had the impossible burger on the grill today 😍 &amp; i overheard some people saying that it felt like meat and they didn't believe it was vegan lmao lowkey made my day,0
@mothxwings Impossible Burgers,0
"@zustinvibes @craftyvegangirl Try the Impossible Whopper. Make yourself a Beyond Burger ar home.

Now look into the eyes of your dog or cat. Could you eat them?

Now look into the eyes of a horse. Could you eat him?

Now look into the eyes of a goat, a lamb, a cow, a turkey, a fish.

Now what do you think?",0
"Target and Kroger now have the Impossible Burger! So. Good. And best of all, a cow did not suffer a tortured life and a brutal death for us to have a tasty “beefy” burger. Being vegan has never been easier.

#PlantBased #Vegan #WhatVegansEat #ImpossibleBurger https://t.co/dvKziwCK68",0
"The IMPOSSIBLE BURGER Goes GLOBAL
https://t.co/uSo2Ruo4XM
#vegan #plantbased #veganfood #vegetarian #crueltyfree #govegan #vegansofig #veganlife #whatveganseat #veganrecipes #veganism #vegansofinstagram #animalrights #peta",0
"@tyler_casper The one with the most artificial flavoring, preservative, and coloring.

But much healthier than the impossible burglar from Burger King.",0
How Impossible Foods Turned A Plant-Based Burger Into A $4 Billion Brand https://t.co/mh01GarZCU via @YouTube,0
I am eating my impossible burger like toast or a bagel because i cooked it to approximately the rigidity of a hockey puck,0
"2 (La Croix and Impossible burger)

Most of the rest of the list sounds made up. https://t.co/YbVrGwknb2",0
Pop’s Eat-Rite Is Bringing Impossible Meat Smash Burgers To the East Village  Eater NY https://t.co/c0ogkAYriD,0
"Is it burger or #impossible @ImpossibleFoods I'm amazed at how much it looks like burger, and am happy it's not! https://t.co/4V7cHfNbxE",0
prolly late but kroger has the impossible burgers you can make on your own and impossible ground beef,0
"@KaitSnod So far, I've only eaten an Impossible Burger, so I guess I'm canceled?",0
This man knows i don’t like burgers so he asked if i wanted nuggets or a impossible burger 😭😭,0
Impossible Burgers Won’t Save the Environment—They’re Just a Greenwashing Trend https://t.co/IgZEKf93BH https://t.co/e9T5bSxdBI,0
"@LizHackett Cook him up an Impossible Burger while you do a standard veggie burger, and don't show him the package until after. I did this with my father-in-law and the reaction was the best.",0
"I'm only at 4 or 5 (depends on if any impossible meat counts or if it must be a burger)

#canceled https://t.co/ToiI3G8uIr",0
